raceId,Count,Avg_milliseconds
1000,20,22214.1
1001,34,22360.6764705882
1002,21,26151.9523809524
1003,25,29573.84
1004,20,30312.45
1005,23,25040.3913043478
1006,24,25668.7083333333
1007,29,23187.1379310345
1008,25,24197.64
1009,18,22957.5555555556
1010,22,23607.7272727273
1011,40,26532.2
1012,37,25685.8918918919
1013,26,20530.4230769231
1014,37,23137.2162162162
1015,23,25422.347826087
1016,22,24643.5454545455
1017,23,31136.347826087
1018,23,22381.8695652174
1019,29,29649.6551724138
1020,78,22075.858974359
1021,24,22801.2083333333
1022,24,25674.25
1023,29,25858.6551724138
1024,28,30976.5
1025,25,30764
1026,31,23878.4516129032
1027,26,23591.1538461538
1028,33,24946.4848484848
1029,45,23692.8888888889
1030,25,22273.12
1031,38,21043.8157894737
1032,21,22929.1904761905
1033,45,23197.3777777778
1034,22,31254.0909090909
1035,41,28733.7804878049
1036,35,22335.2285714286
1037,20,24100.45
1038,37,714235.27027027
1039,66,529469.5
1040,24,30807.3333333333
1041,33,23468.7878787879
1042,25,28589.96
1043,30,30907.3
1044,38,28132.3421052632
1045,57,403572.596491228
1046,39,26211.2307692308
1047,23,22681
1051,30,26418.1666666667
1052,40,25363.15
1053,56,490435.125
1054,60,23768.1333333333
1055,37,23543.5405405405
1056,19,24196.1578947368
1057,59,592693.762711864
1058,24,23762.5
1059,22,30564.1818181818
1060,27,22083.6296296296
1061,41,972252
1062,52,439993.442307692
1064,29,20395.9310344828
1065,22,26368.1818181818
1066,39,31400.0256410256
1067,20,24739.25
1069,41,24880.0731707317
1070,25,24022.12
1071,79,21177.4430379747
1072,47,786495.680851064
1073,29,21811.6551724138
1074,58,25377.6034482759
1075,19,21812.6315789474
1076,22,18541.6818181818
1077,25,31665.76
1078,25,20113.2
1079,53,22981.2264150943
1080,53,418044.41509434
1081,27,23105.5925925926
1082,32,25550.375
1083,47,1119664.34042553
1084,42,22902.7857142857
1085,25,38322.64
1086,42,22913.5
1087,38,23913.7894736842
1088,72,19598
1089,28,24711.5
1091,21,31797.5238095238
1092,42,186369.571428571
1093,36,25915.5555555556
1094,23,23471.3913043478
1095,44,24677.8409090909
1096,31,22443.0322580645
841,45,24342.8222222222
842,59,24434.3728813559
843,58,22299.2413793103
844,82,23005.0609756098
845,77,21567.5974025974
846,43,27548.3488372093
847,75,25267.3333333333
848,65,21795.8153846154
849,54,25964.2222222222
850,50,21635.46
851,88,22060.6477272727
852,52,22745.8461538462
853,35,51479.9142857143
854,69,31333.2608695652
855,65,22118.2923076923
856,50,21835.56
857,47,23801.3404255319
858,42,21072.5952380952
859,58,21675.8103448276
860,41,24706.9268292683
861,76,25766.6578947368
862,55,22102.6909090909
863,71,23381.1971830986
864,67,20973.5074626866
865,26,26856.4615384615
866,37,21825.1891891892
867,49,22199.8775510204
868,43,26893.8837209302
869,60,19710.8166666667
870,58,20085.8275862069
871,38,22674.3421052632
872,31,22618.064516129
873,56,31156.4285714286
874,46,22336.8913043478
875,41,21119.1219512195
876,28,22694.7142857143
877,30,21959.5666666667
878,24,22526.4166666667
879,69,23779.7246376812
880,53,23119.9056603774
881,73,27328.2191780822
882,57,21097.9473684211
883,71,22954.8732394366
884,79,21206.0886075949
885,30,26428.2333333333
886,44,21455.8409090909
887,55,26297.3454545455
888,56,23928.9464285714
890,56,22156.8571428571
891,43,23484.8837209302
892,24,25754.25
893,54,31111.8703703704
894,49,25153.4693877551
895,48,23349.3541666667
896,44,24893.2954545455
897,41,22395.1951219512
898,27,24873.4444444444
899,47,23424.7446808511
900,34,23856.4411764706
901,55,28549.8727272727
902,57,26009.2105263158
903,45,24716.8888888889
904,48,22922.2291666667
905,27,28645.037037037
906,33,24213.2424242424
907,41,23430.0975609756
908,23,29195.2173913043
909,55,20388.3454545455
910,44,23819.2954545455
911,46,23913.6304347826
912,23,25310.652173913
913,54,30080.1481481481
914,79,334107.240506329
915,23,30727.4782608696
916,36,25288.6944444444
917,52,24377.8846153846
918,41,22345.8048780488
926,17,25012.5882352941
927,50,27092.08
928,38,23183.8421052632
929,43,28697.7674418605
930,46,23395.0434782609
931,31,27150.3870967742
932,23,24894.3043478261
933,21,24262.2380952381
934,33,32856.5151515152
936,96,21273.0729166667
937,38,23262.6315789474
938,23,24745.3913043478
939,42,31411.7857142857
940,45,25117.7777777778
941,19,32131.2631578947
942,47,27448.3829787234
943,38,23578.3157894737
944,49,24384.4693877551
945,42,23341.8571428571
948,45,445759.6
949,53,25905.8490566038
950,66,24694.303030303
951,26,33135.8076923077
952,47,23047.3617021277
953,45,28991.4666666667
954,36,23864.3333333333
955,33,21628.9090909091
956,76,20493.7105263158
957,47,32769.5531914894
958,45,22500.6888888889
959,60,20501.8166666667
960,51,349103.235294118
961,39,45398.9743589744
962,68,30440.3088235294
963,44,25342.3181818182
964,38,23557.7105263158
965,43,25083.9302325581
966,28,23138.5714285714
967,62,1024768.33870968
968,37,22906.1621621622
969,20,24080.8
970,82,20529.4634146341
971,31,25714.9677419355
972,20,30821.4
973,37,23219.5945945946
974,28,25554.1785714286
975,21,29691.3333333333
976,63,378141.19047619
977,20,21868.8
978,27,29501.9259259259
979,21,24043.1904761905
980,40,24103.175
981,21,26160.0952380952
982,82,30482.1707317073
983,20,24491.15
984,22,23671.5
985,25,24514.84
986,23,23832.0434782609
987,69,20289.1739130435
988,22,22222.6363636364
989,20,22316.75
990,33,25801.4848484848
991,30,23509.5333333333
992,36,23904.1944444444
993,21,23834.9047619048
994,26,25691.5
995,20,24683.95
996,20,26343.1
997,23,23449.1304347826
998,28,28879.2142857143
999,40,21072.025
